price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
9400,2011,bmw x5,good,6,gas,145000,automatic,SUV,unknown,1,2018-06-23,19,7
25500,2011,ford f-150,good,6,gas,88705,automatic,pickup,white,1,2018-10-19,50,7
5500,2013,hyundai sonata,like new,4,gas,110000,automatic,sedan,red,0,2019-02-07,79,6
1500,2003,ford f-150,fair,8,gas,161397,automatic,pickup,unknown,0,2019-03-22,9,16
14900,2017,chrysler 200,excellent,4,gas,80903,automatic,sedan,black,0,2019-04-02,28,2
14990,2014,chrysler 300,excellent,6,gas,57954,automatic,sedan,black,1,2018-06-20,15,4
12990,2015,toyota camry,excellent,4,gas,79212,automatic,sedan,white,0,2018-12-27,73,3
15990,2013,honda pilot,excellent,6,gas,109473,automatic,SUV,black,1,2019-01-07,68,6
11500,2012,kia sorento,excellent,4,gas,104174,automatic,SUV,unknown,1,2018-07-16,19,6
9200,2008,honda pilot,excellent,6,gas,147191,automatic,SUV,blue,1,2019-02-15,17,11
19500,2011,chevrolet silverado 1500,excellent,8,gas,128413,automatic,pickup,black,1,2018-09-17,38,7
8990,2012,honda accord,excellent,4,gas,111142,automatic,sedan,grey,0,2019-03-28,29,7
18990,2012,ram 1500,excellent,8,gas,140742,automatic,pickup,unknown,1,2019-04-02,37,7
16500,2018,hyundai sonata,excellent,4,gas,22104,automatic,sedan,silver,0,2019-01-14,29,1
12990,2009,gmc yukon,excellent,8,gas,132285,automatic,SUV,black,1,2019-01-31,24,10
17990,2013,ram 1500,excellent,8,gas,99840,automatic,pickup,red,1,2018-05-15,111,5
14990,2010,ram 1500,excellent,8,gas,130725,automatic,pickup,red,1,2018-12-30,13,8
13990,2014,jeep cherokee,excellent,6,gas,100669,automatic,SUV,red,1,2018-08-16,25,4
12500,2013,chevrolet traverse,excellent,6,gas,128325,automatic,SUV,white,1,2019-04-09,13,6
13990,2018,hyundai elantra,excellent,4,gas,31932,automatic,sedan,red,0,2018-08-25,27,0
6990,2009,chevrolet tahoe,excellent,8,gas,147485,automatic,SUV,silver,1,2018-08-05,28,9
5250,2007,toyota rav4,good,6,gas,154000,automatic,SUV,unknown,0,2018-08-22,8,11
7500,2004,chevrolet silverado,like new,8,gas,180000,automatic,truck,red,1,2019-01-05,64,15
7500,2004,jeep wrangler,good,6,gas,156640,automatic,SUV,red,1,2018-05-17,39,14
3950,2009,chrysler 200,excellent,4,gas,131565,automatic,sedan,red,0,2018-06-11,40,9
